male,female,male_quantized,female_quantized
0.03538876488095233,0.9556826636904762,1,5
0.7235863095238095,0.9877232142857143,4,5
0.5128348214285714,0.20442708333333337,3,2
0.10258556547619047,0.3289620535714286,1,2
0.06557537260509672,0.9433531988234747,1,5
0.1266741071428571,0.13820684523809523,1,1
9.918212890625e-05,0.9969246273949033,1,5
0.5974702380952381,0.9055059523809523,3,5
0.5437127976190477,0.3699776785714286,3,2
0.9295014880952381,0.061569940476190466,5,1
0.9703311011904762,0.014787946428571397,5,1
0.4274553571428571,0.5933779761904762,3,3
0.6316964285714286,0.2700892857142857,4,2
0.5152281806582496,0.5026289621988933,3,3
0.4880022321428571,0.49711681547619047,3,3
0.7116815476190477,0.10081845238095233,4,1
0.9794643038795108,0.725892838977632,5,4
0.9918154761904762,0.008184523809523836,5,1
0.34831346784319195,0.3510912940615699,2,2
0.13955543154761907,0.15508742559523814,1,1
0.2619977678571429,0.6040736607142857,2,4
0.70703125,0.7007068452380952,4,4
0.9235026041666666,0.0735212053571429,5,1
0.9846075148809523,0.04217819940476186,5,1
0.7146112351190477,0.17657180059523814,4,1
0.681640625,0.7141927083333333,4,4
0.01497395833333337,0.9999069940476191,1,5
0.6795014880952381,0.41871279761904767,4,3
0.0019345056442987563,0.49806549435570124,1,3
0.003069196428571397,0.3094308035714286,1,2
0.9854662758963448,0.38060515267508366,5,2
0.8721168154761905,0.13681175595238093,5,1
0.9539682297479539,0.9686508178710938,5,5
0.005754016694568431,0.9882936023530506,1,5
0.9667503720238095,0.2267020089285714,5,2
0.5545014880952381,0.41276041666666663,3,3
0.9103887648809523,0.33068266369047616,5,2
0.9857700892857143,0.005301339285714302,5,1
0.7857142857142857,0.9345238095238095,4,5
0.9971168154761905,0.029668898809523836,5,1
0.5149739583333333,0.505859375,3,3
0.681640625,0.5177641369047619,4,3
0.5421781994047619,0.5738932291666667,3,3
0.9977058910188221,0.0013020606268019375,5,1
0.9167658487955729,0.2885912940615699,5,2
0.9977213541666666,0.011207217261904767,5,1
0.8449125744047619,0.8663969494047619,5,5
0.9800967261904762,0.005022321428571397,5,1
0.6961030505952381,0.31282552083333337,4,2
0.5026506696428572,0.47651599702380953,3,3
0.2919921875,0.7360956101190477,2,4
0.9639601934523809,0.044968377976190466,5,1
0.17903645833333337,0.24655877976190477,1,2
0.9880022321428571,0.9911644345238095,5,5
0.997718266078404,0.02311506725492929,5,1
0.8360117957705543,0.20307540893554688,5,2
0.8538411458333334,0.28603980654761907,5,2
0.9479166666666666,0.06101190476190477,5,1
0.9431268601190477,0.7443731398809523,5,4
0.9652622767857143,0.9748418898809523,5,5
0.5363653273809523,0.27613467261904767,3,2
0.8710007440476191,0.12602306547619047,5,1
0.9916294642857143,0.005394345238095233,5,1
0.7048610505603609,0.015377044677734375,4,1
0.1012834821428571,0.7766927083333334,1,4
