How old are you?,What gender do you identify as?,Does your gender identity align with your sex assigned at birth?,What species is your primary character?,Where in the world are you located?,What religion do you identify with?,"If we cannot observe something, it may as well not exist.","There is/are no God, gods, or deities.","There is no such thing as truth, only opinions.",Morality is a social construct.,"Sometimes, it is better for individuals to have rights taken away, in order to protect others within a society.","When in Rome, do as the Romans do.",People require a national identity to understand themselves.,The only things we can be said to know are things we have experienced.,Science is the surest path to knowledge.,Some races require different treatment than others.,It is impossible for us to know if other beings are self-aware.,"Without a belief in God, any action becomes permissible.","It is better to hold false but comforting beliefs, than to know something disturbing.",The ends can justify the means.,"Everything has a scientific, naturalistic explanation.","There is an objective reality, which exists independently from us.",The most important goal of life is to become happy.,"People posses free will, and are able to make choices as individual agents.","Certain things, such as racism, sexism, and homophobia, are always wrong, regardless of context.",The media positively contributes to liberal democracy.,We posses no knowledge at birth.,Our perceptions accurately represent reality.,Free market economics is the best way to distribute wealth.,Different societies ought to keep to themselves.
30,mostly_female,transgender,arcticfox,co-us,atheist,disagree,slightly_agree,strongly_disagree,slightly_agree,agree,disagree,disagree,disagree,strongly_agree,strongly_disagree,neutral,strongly_disagree,slightly_disagree,slightly_agree,agree,agree,slightly_agree,agree,strongly_agree,agree,agree,disagree,neutral,disagree
25,mostly_male,cisgender,otherfox,pa-us,agnostic,strongly_agree,neutral,slightly_disagree,agree,slightly_agree,neutral,disagree,slightly_disagree,agree,neutral,slightly_disagree,strongly_disagree,strongly_disagree,neutral,agree,neutral,agree,slightly_agree,neutral,neutral,slightly_agree,slightly_agree,neutral,strongly_disagree
21,somewhat_male,transgender,raccoon,fl-us,agnostic,disagree,dont_know,disagree,slightly_agree,slightly_agree,neutral,disagree,slightly_agree,neutral,strongly_disagree,slightly_agree,disagree,neutral,slightly_agree,slightly_disagree,dont_know,strongly_agree,strongly_agree,strongly_agree,slightly_disagree,neutral,agree,dont_know,strongly_disagree
33,male,cisgender,husky,ca-us,christian_other,slightly_disagree,disagree,disagree,slightly_disagree,neutral,disagree,slightly_agree,slightly_agree,strongly_agree,strongly_disagree,disagree,neutral,strongly_disagree,disagree,dont_know,agree,slightly_agree,strongly_agree,strongly_agree,slightly_agree,slightly_disagree,dont_know,neutral,disagree
19,none,transgender,dragon,fl-us,agnostic,disagree,neutral,slightly_agree,disagree,slightly_agree,dont_know,strongly_disagree,agree,slightly_disagree,neutral,agree,disagree,neutral,slightly_agree,slightly_disagree,dont_know,slightly_agree,disagree,agree,slightly_disagree,slightly_disagree,slightly_disagree,dont_know,neutral
37,none,transgender,polymorphic,nv-us,muslim,agree,neutral,strongly_disagree,slightly_disagree,agree,slightly_agree,strongly_disagree,disagree,agree,strongly_disagree,neutral,strongly_disagree,neutral,agree,dont_know,dont_know,strongly_disagree,agree,strongly_agree,disagree,disagree,strongly_disagree,disagree,disagree
19,male,transgender,deer,ga-us,agnostic,strongly_disagree,strongly_disagree,disagree,neutral,agree,agree,strongly_disagree,agree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,neutral,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,dont_know,agree,slightly_disagree,dont_know,strongly_disagree
25,mostly_male,cisgender,weasel,va-us,atheist,slightly_agree,agree,strongly_disagree,agree,slightly_disagree,agree,neutral,slightly_disagree,slightly_disagree,slightly_disagree,disagree,strongly_disagree,strongly_disagree,neutral,slightly_agree,slightly_agree,slightly_agree,slightly_agree,strongly_agree,disagree,slightly_agree,strongly_disagree,strongly_disagree,disagree
21,male,cisgender,redfox,ca,atheist,agree,strongly_agree,disagree,slightly_disagree,disagree,neutral,strongly_disagree,slightly_agree,agree,strongly_disagree,slightly_agree,strongly_disagree,strongly_disagree,slightly_agree,strongly_agree,strongly_agree,slightly_agree,agree,agree,slightly_disagree,slightly_agree,slightly_agree,agree,strongly_disagree
22,both,complicated,dragon,tx-us,atheist,slightly_agree,neutral,disagree,disagree,slightly_agree,neutral,disagree,slightly_disagree,slightly_disagree,slightly_disagree,dont_know,strongly_disagree,disagree,slightly_agree,neutral,dont_know,slightly_agree,slightly_disagree,agree,disagree,dont_know,dont_know,strongly_disagree,slightly_disagree
18,mostly_male,cisgender,otherdog,tx-us,christian_protestant,disagree,strongly_disagree,strongly_disagree,disagree,slightly_agree,disagree,slightly_agree,slightly_disagree,neutral,strongly_disagree,agree,agree,slightly_agree,strongly_disagree,agree,dont_know,strongly_agree,strongly_agree,agree,agree,disagree,disagree,slightly_agree,disagree
18,male,transgender,domesticcat,fl-us,agnostic,disagree,dont_know,strongly_disagree,strongly_disagree,disagree,neutral,slightly_disagree,slightly_disagree,slightly_agree,strongly_disagree,disagree,strongly_disagree,slightly_agree,neutral,slightly_disagree,dont_know,slightly_agree,agree,agree,slightly_agree,slightly_agree,dont_know,dont_know,disagree
34,mostly_male,cisgender,polymorphic,ct-us,agnostic,slightly_agree,neutral,slightly_disagree,agree,agree,neutral,slightly_disagree,agree,agree,disagree,strongly_agree,slightly_disagree,neutral,neutral,agree,dont_know,dont_know,neutral,agree,agree,slightly_agree,slightly_disagree,slightly_disagree,disagree
