species,age,count
arctic-fox,30,7
wolf,49,4
other,49,2
wolf,22,193
leopard,22,8
sea-otter,22,4
horse,22,13
domestic-cat,32,8
raccoon,25,17
other-bird,25,16
kangaroo,25,5
snow-leopard,30,9
wolf,26,119
arctic-fox,26,17
domestic-cat,26,34
other-bird,29,5
wolf,30,39
river-otter,24,15
weasel,24,5
weasel,26,3
other-feline,31,16
husky,22,59
horse,41,4
dragon,30,20
lizard,30,3
other,30,53
other-feline,26,33
other-dog,28,27
other,28,73
horse,28,13
other-mustelid,28,7
german-shep,25,15
other,33,15
snow-leopard,32,5
domestic-cat,30,16
raccoon,23,15
other-ungulate,34,4
other-fox,20,44
coyote,25,17
river-otter,25,11
other,25,107
wolf,27,84
red-fox,19,79
other-feline,19,35
raccoon,19,22
cougar,35,1
rabbit,35,3
other,24,136
other-marsupial,24,2
lion,46,1
wolf,23,154
husky,28,23
wolf,24,146
other,29,47
dragon,36,9
lion,34,5
snow-leopard,34,2
raptor,34,4
tiger,34,5
squirrel,42,1
husky,31,15
dragon,18,90
jackal,27,8
collie,51,1
red-fox,26,42
other-canine,26,17
other,26,78
other-dog,21,66
domestic-cat,17,45
lizard,31,2
raven,23,5
red-fox,18,79
other-reptile,22,12
horse,31,6
other,23,126
red-fox,22,59
snow-leopard,18,17
other-dog,55,2
other-dog,23,62
rabbit,26,14
wolf,20,243
horse,27,14
wolf,25,137
red-fox,48,2
other-dog,22,56
red-panda,37,1
kitsune,29,7
squirrel,29,4
other-fox,21,42
red-fox,24,67
raccoon,34,2
snow-leopard,20,37
river-otter,32,3
mouse,32,4
wolf,19,226
tiger,31,13
other,36,12
wolf,33,36
domestic-cat,25,45
rat,25,8
other-dog,40,5
other-mustelid,33,2
red-fox,32,20
kitsune,32,7
coyote,32,5
other,34,21
tiger,21,32
rabbit,30,8
wolf,18,204
german-shep,29,8
snow-leopard,26,18
rabbit,34,7
kitsune,26,16
dragon,28,39
collie,35,1
coyote,23,10
other-fox,28,20
other-feline,21,34
dragon,21,107
domestic-cat,27,20
other-dog,39,4
skunk,39,2
red-fox,27,34
river-otter,21,17
other,27,74
deer,25,22
raven,25,10
wolf,66,2
horse,66,2
red-fox,31,26
lion,27,14
weasel,31,3
other-mustelid,31,3
red-panda,31,3
hyena,31,2
bat,31,6
bat,24,15
sea-otter,21,5
other,20,139
leopard,27,2
lizard,21,17
other-reptile,21,15
hyena,23,17
coyote,20,14
dragon,20,105
griffin,22,11
kitsune,23,20
other-feline,23,42
other-ungulate,23,17
bat,23,15
lion,52,2
horse,26,18
other-bird,26,10
collie,30,2
snow-leopard,31,8
skunk,31,4
other-feline,27,26
raccoon,36,2
panther,26,6
other-reptile,30,4
lizard,24,19
brown-bear,23,3
tiger,23,28
deer,21,32
red-fox,29,20
arctic-fox,29,6
rabbit,22,27
dragon,34,15
dragon,19,103
wolf,39,3
coyote,39,1
other-dog,31,11
cougar,27,4
other-ungulate,30,4
german-shep,21,27
cheetah,29,5
rabbit,24,22
dragon,23,90
bat,21,19
red-fox,21,92
coyote,29,9
husky,20,77
horse,20,24
red-panda,23,15
other,16,73
snow-leopard,19,19
rabbit,19,27
arctic-fox,24,27
grey-fox,18,17
other-feline,18,28
weasel,18,2
lion,31,8
dragon,31,29
red-fox,100,1
arctic-fox,100,1
coyote,100,1
jackal,100,1
husky,100,1
collie,100,1
other-dog,100,1
other-canine,100,1
lion,100,1
leopard,100,1
cheetah,100,1
cougar,100,2
domestic-cat,100,2
other-feline,100,1
dragon,100,1
lizard,100,1
dinosaur,100,1
other-reptile,100,1
raccoon,100,1
badger,100,1
sea-otter,100,1
other-bear,100,1
rat,100,1
raven,100,1
rabbit,100,1
kangaroo,100,1
koala,100,1
lemur,100,1
monkey,100,1
other-primate,100,1
hyena,100,1
griffin,100,1
arctic-fox,27,13
snow-leopard,16,10
domestic-cat,16,43
mouse,23,5
other-fox,24,34
other-canine,27,14
other-musteloid,27,3
husky,29,11
domestic-cat,23,55
dragon,32,25
coyote,19,19
raven,19,10
other-bird,19,17
raccoon,22,13
kangaroo,22,8
other-feline,37,5
wolf,2,1
other-fox,18,33
german-shep,24,21
hyena,24,19
red-fox,30,17
snow-leopard,23,24
cougar,28,5
leopard,29,4
red-panda,20,8
other-bear,19,12
other-ungulate,25,13
other-mustelid,24,14
other,19,138
dragon,17,71
dragon,25,71
dragon,26,54
grey-fox,25,10
raptor,18,9
wolf,1,17
coyote,1,2
tiger,18,31
red-panda,22,13
arctic-fox,22,26
dragon,22,89
other-ungulate,22,11
other,22,128
weasel,37,1
other-bear,37,3
other,37,10
grey-fox,28,12
kitsune,28,14
other-canine,28,10
other-bird,30,8
other-bird,35,3
wolf,47,7
tiger,47,1
dragon,47,2
raccoon,17,15
other-feline,24,46
tiger,26,25
other-feline,39,1
dragon,24,90
raccoon,24,15
red-fox,20,90
rat,27,6
mouse,24,9
lion,33,4
raptor,33,3
river-otter,29,6
domestic-cat,21,50
leopard,25,9
lizard,20,18
raven,20,12
raccoon,39,4
dragon,27,45
river-otter,27,9
other-bird,27,9
red-fox,39,4
husky,23,46
domestic-cat,41,7
dragon,41,4
coyote,30,8
wolf,6,1
hyena,6,2
other-canine,22,16
domestic-cat,22,52
mouse,21,7
other,18,114
other-ungulate,21,12
german-shep,20,12
german-shep,19,28
cheetah,1,1
kitsune,47,1
other,47,4
other-fox,22,46
panther,35,3
domestic-cat,31,14
other,31,41
jackal,28,5
red-fox,25,43
skunk,25,11
lion,22,24
hyena,22,18
other-dog,26,31
red-fox,40,3
wolf,31,45
sea-otter,29,3
red-fox,28,41
tiger,19,24
squirrel,31,1
