"location";"state";"townsize"
"us";"CA";"g"
"zz";"zz";"z"
"nz";"zz";"i"
"us";"TX";"g"
"nz";"zz";"b"
"us";"NM";"c"
"us";"WA";"d"
"uk";"zz";"a"
"us";"CA";"g"
"us";"CA";"f"
"us";"MO";"b"
"ua";"zz";"g"
"us";"AK";"g"
"us";"NJ";"c"
"uk";"zz";"g"
"us";"TX";"b"
"us";"WI";"a"
"pr";"zz";"h"
"us";"TX";"g"
"us";"PA";"d"
"us";"CA";"e"
"uk";"NS";"e"
"us";"OH";"c"
"au";"zz";"c"
"us";"TX";"d"
"us";"PA";"b"
"us";"AZ";"i"
"us";"TX";"i"
"us";"WA";"a"
"hu";"zz";"i"
"us";"NE";"c"
"us";"WI";"c"
"us";"PA";"c"
"au";"zz";"i"
"us";"AR";"e"
"uk";"zz";"f"
"us";"MN";"f"
"us";"FL";"g"
"us";"MT";"f"
"nl";"zz";"f"
"us";"NY";"d"
"us";"CA";"f"
"us";"KT";"g"
"us";"CA";"e"
"us";"WA";"f"
"ca";"AB";"d"
"us";"PA";"g"
"us";"WA";"b"
"us";"zz";"e"
"au";"zz";"i"
"us";"AK";"b"
"us";"TX";"g"
"us";"KT";"c"
"us";"UT";"d"
"us";"TX";"c"
"ie";"zz";"d"
"us";"IL";"g"
"zz";"zz";"z"
"us";"GA";"i"
"us";"CA";"e"
"us";"CO";"h"
"uk";"zz";"e"
"us";"ID";"f"
"us";"KS";"g"
"au";"zz";"e"
"us";"CA";"b"
"uk";"zz";"e"
"uk";"zz";"b"
"se";"zz";"c"
"nz";"zz";"f"
"sg";"zz";"i"
"us";"MN";"z"
"uk";"zz";"d"
"uk";"zz";"e"
"us";"NH";"c"
"se";"zz";"g"
"uk";"TN";"i"
"uk";"zz";"c"
"nl";"zz";"c"
"my";"zz";"f"
"uk";"zz";"a"
"my";"zz";"b"
"uk";"zz";"c"
"ax";"zz";"b"
"uk";"zz";"f"
"us";"PA";"f"
"us";"IL";"d"
"au";"zz";"b"
"za";"zz";"i"
"uk";"zz";"g"
"us";"CA";"f"
"us";"MI";"f"
"us";"IL";"i"
"us";"TX";"i"
"us";"OH";"d"
"us";"OR";"h"
"us";"PA";"c"
"us";"VA";"d"
"us";"MI";"b"
"ca";"ON";"i"
"uk";"zz";"f"
"us";"NC";"d"
"uk";"zz";"z"
"us";"CO";"e"
"us";"TX";"e"
"au";"zz";"g"
"us";"FL";"g"
"us";"AZ";"g"
"fi";"zz";"e"
"us";"PA";"e"
"uk";"zz";"g"
"ca";"ON";"c"
"us";"FL";"g"
"us";"MI";"f"
"us";"CA";"c"
"us";"VA";"g"
"us";"CA";"e"
"us";"NJ";"d"
"ca";"ON";"g"
"us";"WA";"a"
"us";"FL";"f"
"us";"AZ";"c"
"nl";"zz";"b"
"us";"IL";"z"
"us";"MN";"d"
"us";"CO";"g"
"us";"PA";"a"
"us";"NC";"d"
"us";"CO";"g"
"us";"MI";"d"
"us";"FL";"d"
"us";"MD";"c"
"us";"NM";"a"
"sv";"zz";"b"
"us";"IA";"d"
"us";"NC";"d"
"us";"UT";"i"
"us";"OK";"b"
"uk";"zz";"z"
"us";"GA";"b"
"us";"WA";"a"
"us";"PA";"z"
"us";"OH";"h"
"fr";"zz";"a"
"us";"WI";"c"
"us";"WA";"d"
"uk";"zz";"g"
"au";"zz";"i"
"br";"zz";"i"
"us";"OH";"b"
"uk";"zz";"g"
"us";"IN";"c"
"us";"PA";"g"
"us";"VA";"f"
"us";"OH";"b"
"se";"zz";"i"
"us";"TX";"i"
"uk";"zz";"a"
"zz";"zz";"z"
"us";"CA";"h"
"se";"zz";"i"
"pl";"zz";"h"
"us";"TN";"c"
"us";"MN";"b"
"ca";"ON";"e"
"ca";"ON";"e"
"us";"GA";"d"
"au";"zz";"i"
"zz";"zz";"d"
"us";"GA";"b"
"us";"OR";"d"
"us";"TN";"c"
"us";"NY";"b"
"us";"MT";"b"
"us";"FL";"g"
"us";"MN";"f"
"us";"TX";"g"
"ca";"AB";"d"
"us";"NJ";"c"
"us";"IL";"d"
"sg";"zz";"i"
"us";"AZ";"i"
"br";"zz";"h"
"us";"CA";"b"
"us";"ME";"h"
"us";"FL";"g"
"ca";"AB";"h"
"us";"IA";"e"
"uk";"zz";"c"
"xx";"zz";"e"
"se";"zz";"g"
"mx";"zz";"i"
