Species,<1,1,2,3,4,5,6,7,8,9,>10
animal_wolf,0.1864,0.3136,0.273,0.2331,0.2734,0.242,0.2771,0.25,0.2703,0.2647,0.2106
animal_redfox,0.0523,0.1238,0.1011,0.1295,0.0807,0.0875,0.1299,0.128,0.0743,0.1471,0.113
animal_dragon,0.0727,0.1004,0.0816,0.1016,0.0938,0.102,0.0606,0.1402,0.1486,0.0588,0.099
animal_domesticcat,0.0614,0.099,0.0833,0.0956,0.0911,0.0729,0.0866,0.0854,0.0811,0.0441,0.0586
animal_husky,0.0409,0.0825,0.0709,0.0717,0.0677,0.0787,0.026,0.0732,0.0541,0.0441,0.046
animal_tiger,0.0432,0.0605,0.039,0.0478,0.0469,0.0379,0.0693,0.061,0.0541,0.0735,0.06
animal_otherdog,0.0341,0.0481,0.0532,0.0498,0.0911,0.0466,0.0519,0.061,0.0743,0.0294,0.0628
animal_otherfeline,0.0341,0.0468,0.0514,0.0418,0.0391,0.0554,0.0173,0.0549,0.0473,0.0882,0.0349
animal_otherfox,0.025,0.0509,0.0709,0.0777,0.0651,0.0583,0.0476,0.0488,0.0473,0.0441,0.0488
animal_rabbit,0.025,0.0275,0.0355,0.0398,0.0286,0.0292,0.0563,0.0366,0.0541,0.0147,0.0586
animal_othercanine,0.0432,0.033,0.0337,0.0219,0.0365,0.035,0.0303,0.0427,0.0203,0,0.0237
animal_arcticfox,0.0386,0.033,0.0461,0.0438,0.0313,0.035,0.039,0.0305,0.0405,0.0882,0.0335
animal_kitsune,0.0114,0.0385,0.0426,0.0398,0.0286,0.0204,0.0476,0.0305,0.0473,0.0441,0.0418
animal_lion,0.0295,0.0261,0.0106,0.0378,0.0339,0.0437,0.0216,0.0122,0.0203,0.0294,0.0446
animal_snowleopard,0.0295,0.033,0.023,0.0359,0.0156,0.0262,0.0519,0.0305,0.0068,0.0294,0.0237
animal_raccoon,0.0227,0.0138,0.0301,0.0199,0.0286,0.0058,0.0173,0.0122,0.0068,0,0.0279
animal_coyote,0.025,0.0193,0.0195,0.0259,0.026,0.0233,0.0216,0.0244,0.0135,0.0147,0.0335
animal_greyfox,0.0273,0.0248,0.0301,0.0359,0.013,0.0233,0.0346,0.0366,0.0338,0.0147,0.0167
animal_germanshepherd,0.0273,0.0248,0.0284,0.0159,0.0234,0.0204,0.0216,0.0305,0.0203,0.0147,0.0181
animal_horse,0.0136,0.0206,0.0195,0.0159,0.0104,0.0175,0.0346,0.0427,0.0135,0.0147,0.0377
animal_cheetah,0.0091,0.0151,0.0106,0.0219,0.013,0.0087,0.0173,0.0244,0.0338,0.0441,0.0223
animal_panther,0.0136,0.0151,0.0106,0.0199,0.0104,0.0087,0.0303,0.0244,0.0203,0.0147,0.0153
animal_riverotter,0.0136,0.0206,0.0106,0.0219,0.013,0.0262,0.013,0.0366,0.0405,0,0.0251
animal_otherbird,0.0136,0.022,0.0106,0.0239,0.013,0.0058,0.0173,0.0061,0.027,0.0147,0.0153
animal_bat,0.0182,0.011,0.0106,0.0159,0.013,0.0146,0.0087,0.0427,0.0203,0,0.0153
animal_hyaena,0.0227,0.0179,0.023,0.0219,0.0156,0.0117,0.026,0.0305,0.0203,0.0147,0.0139
animal_kangaroo,0.0227,0.0069,0.0106,0.008,0.0026,0.0087,0.026,0.0183,0,0,0.0265
animal_leopard,0.0159,0.0138,0.0124,0.0199,0.0156,0.0087,0.013,0.0183,0.0135,0.0147,0.0209
animal_raven,0.0159,0.0124,0.0177,0.0139,0.0156,0.0117,0.0087,0.0061,0.027,0,0.007
animal_lizard,0.0136,0.0261,0.0124,0.01,0.0104,0.0262,0.013,0.0244,0.0068,0,0.0084
animal_griffin,0.0136,0.0124,0.0124,0.006,0.013,0.0087,0.0216,0.0183,0.0068,0,0.0153
animal_otherungulate,0.0159,0.0179,0.0071,0.0159,0.013,0.0087,0,0,0.0068,0.0294,0.0181
animal_raptor,0.025,0.0138,0.0124,0.012,0.0156,0.0087,0.0216,0.0305,0.0068,0,0.0126
animal_skunk,0.0068,0.0124,0.0089,0.01,0.0078,0.0262,0.013,0.0122,0.0068,0.0294,0.0237
animal_cougar,0.0136,0.0138,0.0053,0.01,0.013,0.0058,0.0043,0.0061,0.0068,0.0147,0.0139
animal_otherreptile,0.0068,0.0151,0.0071,0.012,0.026,0.0146,0.013,0.0183,0.027,0,0.0084
animal_squirrel,0.0159,0.0069,0.0089,0.0139,0.0078,0.0146,0.0087,0.0122,0,0,0.0195
animal_deer,0.0227,0.011,0.0124,0.01,0.0104,0.0175,0.013,0.0122,0,0.0147,0.0195
animal_grizzlybear,0.0182,0.0083,0.0071,0.01,0.0104,0.0029,0.013,0.0061,0,0,0.0042
animal_rat,0.0159,0.0083,0.0089,0.01,0.0052,0.0117,0.0216,0.0122,0,0,0.0139
animal_mouse,0.0114,0.0055,0.0106,0.006,0.0104,0.0146,0.0043,0.0183,0.0068,0,0.0112
animal_collie,0.0091,0.0083,0.0124,0.002,0.0104,0.0117,0.0173,0.0061,0.0135,0.0147,0.007
